Name,Version,License
ace-jump-mode,20140616.815,GPL v3 or later
ace-window,20181008.1549,GPL v3 or later
ac-js2,20140906.1142,GPL v3 or later
ack,1.5,GPL v3 or later
async,20180527.1730,GPL v2 or later
auto-complete,20170125.245,GPL v3 or later
avy,20181126.1705,GPL v3 or later
bind-key,20180513.430,GPL v3 or later
buffer-move,20160615.1803,GPL v2 or later
clojure-mode,20181119.1200,GPL v3 or later
cmake-ide,20181023.1430,GPL v3 or later
cmake-mode,20180709.1426,OSI-approved BSD 3-Clause
color-identifiers-mode,20181120.1951,GPL v3 or later
color-theme,20080305.834,GPL v2 or later
color-theme-modern,20161219.1144,GPL v3 or later
color-theme-sanityinc-tomorrow,20181024.1728,GPL v3 or later
command-log-mode,20160413.447,GPL v2 or later
company,20181213.2321,GPL v3 or later
company-c-headers,20180814.1730,GPL v3 or later
company-lsp,20181213.2344,GPL v3 or later
counsel,20181213.1630,GPL v3 or later
counsel-gtags,20170326.1259,GPL v3 or later
counsel-projectile,20181126.1441,GPL v3 or later
cquery,20181203.1829,MIT
csv-mode,1.7,GPL v3 or later
dash,20180910.1856,GPL v3 or later
dash-functional,20180107.1618,GPL v3 or later
deferred,20170901.1330,GPL v3 or later
diff-hl,20181209.17,GPL v3 or later
diminish,20170419.1736,GPL v2 or later
dired+,20170818.1411,GPL v2 or later
dired-sort-menu,20130824.507,GPL v2 or later
ebib,20181130.2240,GPL v3 or later
eglot,20181210.10,GPL v3 or later
ein,20181213.1844,GPL v3 or later
elpa-mirror,20181013.256,GPL v3 or later
elpy,20181214.2233,GPL v3 or later
epl,20180205.2049,GPL v3 or later
ess,20181206.2103,GPL v2 or later
evil,20181206.1209,GPL v3 or later
evil-escape,20180910.1234,GPL v3 or later
evil-ledger,20180802.1612,GPL v3 or later
evil-numbers,20140606.1251,GPL v3 or later
expand-region,20180817.1134,GPL v3 or later
f,20180106.922,GPL v3 or later
figlet,20160218.2237,GPL v2 or later
find-file-in-project,20181203.433,GPL v3 or later
flx,20151030.1812,GPL v3 or later
flx-ido,20180117.1519,GPL v3 or later
flycheck,20181214.1048,GPL v3 or later
flycheck-ledger,20180819.321,GPL v3 or later
flymake,1.0.3,GPL v3 or later
geben,20170801.1251,GPL v3 or later
ggtags,20181031.1803,GPL v3 or later
ghub,20181211.1827,GPL v3 or later
git-commit,20181206.2347,GPL v3 or later
git-gutter,20161105.1356,GPL v3 or later
gnuplot,20141231.2137,GPL v2 or later
gnuplot-mode,20171013.1616,GPL v3 or later
goto-chg,20181208.2300,GPL v2 or later
graphql,20180912.31,GPL v3 or later
graphviz-dot-mode,20181118.551,GPL v2 or later
haskell-mode,20181122.823,GPL v3 or later
helm,20181211.934,GPL v3 or later
helm-company,20180828.1612,GPL v3 or later
helm-core,20181208.2138,GPL v3 or later
helm-descbinds,20180429.1456,GPL v3 or later
helm-git-grep,20170614.1411,GPL v3 or later
helm-gtags,20170116.529,GPL v3 or later
helm-projectile,20180815.1514,GPL v3 or later
helm-swoop,20180215.1154,GPL v2 or later
highlight-indentation,20181204.839,GPL v2 or later
ht,20181211.2049,GPL v3 or later
htmlize,20180923.1829,GPL v2 or later
hydra,20181128.1716,GPL v3 or later
hy-mode,20181124.1906,GPL v3 or later
icicles,20170917.942,GPL v3 or later
ido-complete-space-or-hyphen,20180929.150,GPL v2 or later
ido-completing-read+,20180628.244,GPL v3 or later
ido-sort-mtime,20171121.859,GPL v3 or later
ido-ubiquitous,20170923.842,GPL v3 or later
ido-vertical-mode,20180618.2101,GPL v3 or later
iedit,20181114.950,GPL v3 or later
image+,20150707.1616,GPL v3 or later
irony,20181211.1959,GPL v3 or later
ivy,20181213.1650,GPL v3 or later
ivy-dired-history,20170626.556,GPL v3 or later
ivy-rtags,20170523.454,GPL v3 or later
jinja2-mode,20141128.1007,GPL v3 or later
js2-mode,20180724.801,GPL v3 or later
jsonrpc,1.0.6,GPL v3 or later
julia-mode,20180816.2117,unknown
latex-pretty-symbols,20151112.1044,GPL v2 or later
ledger-mode,20181214.1841,GPL v2 or later
levenshtein,20090830.1040,GPL v2 or later
linum-relative,20180124.1047,GPL v2 or later
lispy,20181210.1751,GPL v3 or later
lsp-clangd,20180828.1657,MIT
lsp-mode,20181215.1520,GPL v3 or later
lua-mode,20180323.1021,GPL v2 or later
magit,20181214.1056,GPL v3 or later
magit-popup,20181204.2031,GPL v3 or later
markdown-mode,20181214.1928,GPL v3 or later
memoize,20180614.1930,Public domain
mmm-mode,0.5.7,GPL v2 or later
modern-cpp-font-lock,20180110.2031,GPL v3 or later
move-text,20170909.330,GPL v3 or later
multiple-cursors,20180913.1237,GPL v3 or later
narrow-indirect,20170820.1748,GPL v3 or later
ob-hy,20180702.540,GPL v3 or later
ob-ipython,20180224.953,MIT
org,9.1.14,GPL v3 or later
outorg,20170414.1915,GPL v2 or later
outshine,20181024.1414,GPL v2 or later
ox-reveal,20161027.226,GPL v3 or later
pandoc-mode,20180917.721,BSD 3-Clause
paredit,20171127.205,GPL v3 or later
parinfer,20180904.844,GPL v3 or later
parsebib,20181031.1021,BSD 3-Clause
perspective,20181120.114,Licensed under the same terms as Emacs
persp-projectile,20180616.1944,GPL v3 or later
phi-search,20180322.129,GPL v2 or later
php-mode,20181206.825,GPL v3 or later
pkg-info,20150517.1143,GPL v3 or later
